index	gen	fam	infam	sir	dam	sex	F1	F2	C1	R1	Trait1	Trait2	Trait3	Trait4
1001	2	1001	1	41	501	1	L1	S1	0.75	R2	control	-0.810518893791598	1.14771066840239	0.804407899713657
1002	2	1002	1	16	502	1	L2	S1	0.75	R2	control	-3.52284996405714	-1.98559575933678	0.250478772814133
1003	2	1003	1	16	503	2	L2	S3	0.7	R3	control	3.94959681721422	0.592893263061091	-0.48503091978537
1004	2	1004	1	20	504	2	L1	S3	0.7	R3	control	4.48859687566894	-0.124690586550865	-1.32016630346054
1005	2	1005	1	42	505	1	L2	S2	0.7	R1	control	0.0867692581970844	0.571993697857407	2.31626770970235
1006	2	1006	1	47	506	1	L2	S2	0.9	R2	case	-2.14181524894793	0.502322422325391	1.58391295404278
1007	2	1007	1	22	507	1	L2	S3	0.75	R1	control	1.88988856960854	1.20765602937933	2.05089404297424
1008	2	1008	1	26	508	1	L1	S2	0.75	R2	control	-1.44114577503598	1.90298269329839	-0.953817931002792
1009	2	1009	1	41	509	1	L2	S1	0.75	R1	control	-2.89784021530856	0.681932039081687	2.66988219675877
1010	2	1010	1	43	510	1	L2	S1	0.7	R1	control	-3.19640445515055	0.774328816673815	1.06926649026904
1011	2	1011	1	5	511	1	L1	S3	0.7	R1	control	-1.68137937796665	-1.4556512034447	1.50279116174728
1012	2	1012	1	1	512	2	L1	S2	0.75	R2	control	-0.0572491634640932	-1.83686605157346	0.0385896676011179
1013	2	1013	1	6	513	1	L1	S1	0.9	R3	control	1.44233908457821	4.38975299807927	0.339804937747639
1014	2	1014	1	28	514	1	L2	S3	0.75	R2	control	1.19652330007827	0.906691205964284	1.26970179284477
1015	2	1015	1	25	515	2	L2	S1	0.7	R1	control	0.325352037507648	-0.664142920333368	1.89411846360985
1016	2	1016	1	27	516	2	L1	S2	0.9	R3	control	-0.883484094381331	-2.14365069633585	1.4662716731677
1017	2	1017	1	32	517	1	L1	S2	0.9	R1	control	2.51618858764489	-2.01281189009484	1.40782749030536
1018	2	1018	1	13	518	1	L1	S1	0.7	R1	control	-0.411021378423021	-0.0107243568225977	1.80234782722421
1019	2	1019	1	19	519	1	L2	S2	0.7	R3	control	1.94120761270569	0.76456910210329	-1.16738613944266
1020	2	1020	1	35	520	2	L2	S1	0.9	R2	control	-3.48020191566325	-1.5491126114402	-0.388332648713863
1021	2	1021	1	49	521	1	L1	S3	0.75	R1	control	-0.207437169609147	0.0493904426597779	0.825501328171596
1022	2	1022	1	46	522	2	L2	S2	0.9	R2	control	-2.33112762926927	0.562960788866823	0.160826692086101
1023	2	1023	1	22	523	1	L1	S2	0.9	R3	control	2.59665426820216	0.786542838579954	1.10973476260326
1024	2	1024	1	1	524	1	L2	S1	0.9	R3	control	1.12807537157414	0.0791923614127773	-1.94400845799279
1025	2	1025	1	50	525	2	L2	S2	0.75	R3	control	0.733502383469749	0.448009488325352	-0.0637539724458634
1026	2	1026	1	18	526	2	L1	S1	0.7	R3	control	1.54038005613463	1.61609438128201	-2.04241033975705
1027	2	1027	1	23	527	2	L1	S1	0.9	R3	control	-0.162038924393509	2.27877069242536	-0.455816613597417
1028	2	1028	1	10	528	2	L1	S2	0.75	R3	control	0.506443790651441	-0.438409441003614	-0.327863251791794
1029	2	1029	1	16	529	2	L1	S3	0.9	R1	control	0.85401819623249	0.101047463497742	1.29892727083965
1030	2	1030	1	10	530	1	L2	S3	0.7	R3	control	2.83804961661763	0.667667069022108	1.64983903843723
1031	2	1031	1	20	531	2	L2	S2	0.9	R2	control	4.81617057390201	1.07503697191418	0.0788706763126416
1032	2	1032	1	24	532	1	L1	S2	0.75	R1	control	1.87132937854485	0.70368069892005	0.783671169301138
1033	2	1033	1	8	533	1	L2	S3	0.75	R1	control	-0.203019497549286	1.67333828626453	0.946896830948922
1034	2	1034	1	8	534	2	L1	S3	0.75	R1	control	0.819590432664112	0.729841229310424	1.13029846305626
1035	2	1035	1	13	535	1	L2	S3	0.9	R2	control	1.96613831990953	2.73414718484009	0.386236997033569
1036	2	1036	1	33	536	1	L2	S2	0.75	R2	control	0.891966320377882	-0.282544172505201	-0.989627240155131
1037	2	1037	1	14	537	2	L1	S1	0.75	R2	control	-0.393530279559574	-0.33719241802846	-0.38573640031599
1038	2	1038	1	12	538	2	L1	S2	0.9	R1	control	1.83506440269681	0.201982549819293	3.19029157419581
1039	2	1039	1	34	539	1	L2	S2	0.7	R3	control	2.92119385131414	0.967352114044196	-1.42974736263269
1040	2	1040	1	40	540	1	L2	S3	0.9	R3	control	3.85885670832244	2.25468604835128	0.287729554835485
1041	2	1041	1	8	541	1	L1	S3	0.75	R2	control	-0.267634038819767	-1.32503809770871	1.02095118470037
1042	2	1042	1	37	542	1	L1	S2	0.75	R3	control	3.1139830646641	0.487782831735444	1.04778484330818
1043	2	1043	1	30	543	2	L2	S2	0.7	R1	control	-0.662601632006175	0.397582313075937	0.341533758841989
1044	2	1044	1	26	544	2	L2	S2	0.9	R3	control	-1.54721712900992	0.680619050738508	1.82808837757947
1045	2	1045	1	49	545	2	L1	S1	0.75	R3	control	1.91584177913603	0.114179732865669	1.62287981108912
1046	2	1046	1	27	546	2	L1	S2	0.7	R1	control	0.0315396019669366	-1.6204393597742	0.13393541065102
1047	2	1047	1	2	547	1	L2	S2	0.9	R3	control	1.97426510402295	2.78100214161885	0.99296394178958
1048	2	1048	1	16	548	2	L1	S1	0.75	R2	control	0.36316820989952	0.000456513291930971	0.742771754101382
1049	2	1049	1	36	549	1	L2	S3	0.75	R2	control	-0.265594368237895	-0.747796466231139	0.985428206953628
1050	2	1050	1	24	550	1	L2	S2	0.9	R3	control	2.61350677176632	1.44088574475311	0.964535857093405
1051	2	1051	1	46	551	2	L1	S2	0.75	R2	control	-2.79125679234497	-0.279275159733994	2.6015021663925
1052	2	1052	1	31	552	2	L2	S1	0.9	R3	control	-2.79562322385936	1.82640064828125	-1.05586769688677
1053	2	1053	1	2	553	2	L2	S1	0.75	R2	control	1.45178763207909	0.47843633932319	2.27620265564688
1054	2	1054	1	30	554	1	L1	S2	0.75	R1	control	0.718921495990307	2.51547669207028	0.970896065879809
1055	2	1055	1	41	555	2	L1	S2	0.7	R1	control	0.97947190081907	-0.339013640889642	0.952163074371291
1056	2	1056	1	26	556	1	L2	S2	0.7	R3	control	4.2653411144764	1.44713426460841	-1.3500109999084
1057	2	1057	1	6	557	1	L1	S1	0.9	R3	control	0.0333712157961128	3.2040228663447	1.83595336027213
1058	2	1058	1	1	558	2	L2	S1	0.7	R1	control	-1.24566531517455	-0.104796246226796	0.926304735603668
1059	2	1059	1	12	559	2	L2	S2	0.9	R3	control	2.14726098760836	2.14767886497437	0.938743586870534
1060	2	1060	1	10	560	2	L1	S1	0.7	R3	control	0.814745738781733	-0.0735407467934566	1.57137100480006
1061	2	1061	1	33	561	1	L1	S1	0.9	R1	control	-3.80919050726213	-1.1807781019329	-0.530575619124321
1062	2	1062	1	48	562	1	L2	S3	0.7	R3	control	2.83400592349979	0.242594276547848	0.53996499256202
1063	2	1063	1	28	563	2	L2	S3	0.7	R1	control	1.14486554359857	2.32457937585935	-0.812528090002305
1064	2	1064	1	42	564	1	L1	S1	0.9	R1	control	-1.32220824253654	3.33894260230165	1.06685846647931
1065	2	1065	1	27	565	2	L1	S3	0.9	R3	control	2.52766500077838	2.24208437863385	1.69761300960442
1066	2	1066	1	31	566	2	L2	S3	0.75	R1	control	-2.5632029391811	-1.03839065256743	0.727586471896691
1067	2	1067	1	8	567	2	L1	S3	0.75	R3	control	-0.978780674256289	-0.329464267378197	-0.577687775900151
1068	2	1068	1	13	568	1	L2	S2	0.7	R3	control	1.40241972546018	1.92800453999653	-0.452344839414665
1069	2	1069	1	48	569	2	L2	S1	0.75	R1	control	2.19788563479198	0.424676215017216	0.183836456099818
1070	2	1070	1	13	570	1	L2	S2	0.75	R3	control	2.07077565016197	1.65873727130496	-1.34157669741429
1071	2	1071	1	16	571	2	L1	S2	0.7	R2	control	2.2806718802836	-2.03748810415349	2.50572509076773
1072	2	1072	1	16	572	1	L1	S1	0.75	R2	control	1.31906140412961	-1.77910815075418	2.24565102246444
1073	2	1073	1	27	573	1	L2	S3	0.75	R1	case	-1.83027966641383	2.12313345830118	2.2247016048565
1074	2	1074	1	9	574	1	L2	S3	0.9	R3	control	2.51017238319969	1.55459924954684	-1.49402763935303
1075	2	1075	1	1	575	1	L2	S3	0.75	R2	control	1.14843759482132	-1.39766775631251	0.0414721270441838
1076	2	1076	1	22	576	2	L1	S3	0.75	R3	control	2.04312412600104	-0.832352265341671	1.57428316595691
1077	2	1077	1	49	577	1	L1	S2	0.75	R2	control	0.308014772391284	-1.19184062245803	0.229527879321008
1078	2	1078	1	17	578	2	L2	S1	0.9	R1	control	-1.0423081374004	-0.423243024354016	-0.120538041988714
1079	2	1079	1	19	579	2	L2	S3	0.75	R1	control	2.4578436661245	1.24397444454118	-2.25598826069747
1080	2	1080	1	35	580	1	L1	S3	0.75	R2	control	-2.68542189955218	2.21314505821763	0.675330041239569
1081	2	1081	1	39	581	1	L1	S1	0.75	R3	control	0.820652014115586	0.503747685210762	0.353775446864727
1082	2	1082	1	21	582	2	L2	S3	0.75	R2	control	-0.347048548974842	2.1258270868407	0.524630815911241
1083	2	1083	1	11	583	2	L1	S3	0.75	R2	control	-1.00208284007385	0.353111495614611	1.08588041174944
1084	2	1084	1	21	584	1	L2	S1	0.9	R1	control	0.111194935522434	-0.428980842210489	1.39809037138907
1085	2	1085	1	11	585	1	L2	S1	0.9	R1	control	2.11122818311064	3.12526878506581	0.618381848980491
1086	2	1086	1	34	586	2	L2	S2	0.7	R3	control	4.52299895482058	2.62846225030911	-0.500726138985515
