index	gen	fam	infam	sir	dam	sex	F1	F2	C1	R1	Trait1	Trait2	Trait3	Trait4
1401	3	1401	1	1010	1003	2	L1	S1	0.75	R1	control	-0.652085984485686	-1.01067447273888	-0.238001366882756
1402	3	1402	1	1010	1004	2	L1	S3	0.7	R1	control	1.05274698188838	1.56293039282388	0.411839270249587
1403	3	1403	1	1017	1012	1	L2	S2	0.75	R3	control	1.85521422646321	-0.674293295775022	1.56119798642191
1404	3	1404	1	1010	1015	2	L2	S3	0.75	R2	control	-0.060611751549742	1.94475113572952	1.44420403406527
1405	3	1405	1	1006	1016	1	L2	S2	0.7	R3	control	1.58292642473857	-1.26835912811404	1.45238289294166
1406	3	1406	1	1014	1020	2	L2	S2	0.75	R3	control	3.04125132018753	1.00599098623224	0.381948499478551
1407	3	1407	1	1013	1022	2	L1	S2	0.7	R3	control	-1.43710978446263	2.87042568059042	0.21676949605936
1408	3	1408	1	1007	1025	2	L1	S1	0.9	R1	control	-0.687453409142832	1.58178376726461	2.1120971089537
1409	3	1409	1	1006	1026	1	L2	S1	0.75	R1	control	0.964853198091926	1.73410046084084	2.04067943807665
1410	3	1410	1	1033	1027	2	L2	S2	0.7	R3	control	1.0803083507873	1.49169179544321	0.429521955477925
1411	3	1411	1	1005	1028	2	L2	S1	0.75	R3	control	2.62266061948795	2.27623189099201	0.445069056933995
1412	3	1412	1	1030	1029	2	L2	S3	0.75	R2	control	-1.48048816182772	-0.772789439409708	1.68396441928141
1413	3	1413	1	1008	1031	1	L1	S1	0.75	R1	control	1.49216524180607	0.36401746718699	-2.5958353362039
1414	3	1414	1	1014	1034	2	L1	S1	0.7	R1	control	0.0711066284667175	-0.841988929609075	2.31638173913916
1415	3	1415	1	1011	1037	1	L2	S3	0.75	R2	control	1.22825442405639	-0.274588808279739	0.969763135494397
1416	3	1416	1	1008	1038	1	L1	S1	0.7	R3	control	4.62567518803164	1.61142134677099	-0.252690536922425
1417	3	1417	1	1018	1043	2	L2	S2	0.75	R3	control	1.56191125506926	2.65746873494757	-0.398187840419039
